registrationDate,activityId,residentId
2024-06-18,188,971
2026-06-26,73,984
2026-01-15,226,51
2024-08-13,6,401
2023-05-24,15,319
2024-02-10,73,362
2026-01-15,219,515
2026-12-23,30,62
2023-01-17,23,497
2025-09-06,223,168
2023-07-29,110,647
2025-06-23,74,987
2023-09-09,143,904
2026-05-31,92,314
2023-06-07,368,422
2025-02-06,398,371
2026-07-16,360,70
2025-02-02,208,663
2026-11-11,231,527
2023-11-26,55,482
2026-09-16,320,460
2024-02-25,14,367
2025-02-19,215,439
2026-01-21,321,810
2026-05-20,395,320
2025-12-19,304,763
2023-05-04,260,127
2023-10-15,39,104
2026-10-24,395,297
2025-01-02,329,726
2025-03-14,114,315
2023-03-28,195,1000
2025-06-22,165,743
2024-11-06,45,663
2024-12-19,15,858
2024-09-28,237,879
2023-12-08,122,439
2025-02-27,46,790
2026-11-01,125,984
2024-11-17,54,137
2023-12-17,180,583
2026-02-16,242,923
2024-04-22,195,850
2023-02-07,366,835
2024-12-21,318,6
2026-06-03,334,831
2025-05-23,65,282
2026-11-25,297,456
2024-11-09,213,178
2026-05-15,369,705
2023-09-18,66,828
2024-02-04,313,720
2024-05-05,236,535
2023-01-19,302,48
2024-07-20,339,966
2026-04-10,276,938
2023-03-31,259,637
2025-12-22,278,743
2025-07-09,343,858
2024-02-02,146,168
2025-08-13,183,136
2025-07-15,381,611
2023-08-24,110,336
2024-02-21,245,891
2025-10-15,343,274
2023-11-08,106,333
2025-09-13,295,874
2026-02-25,75,487
2025-07-23,79,279
2025-05-08,128,200
2026-10-12,308,722
2024-07-14,247,690
2023-04-30,304,548
2026-10-19,286,856
2023-01-06,67,112
2023-04-10,15,540
2026-07-07,183,152
2023-05-31,183,567
2026-04-02,278,625
2026-09-03,59,795
2025-11-08,69,781
2025-09-13,322,954
2026-07-13,257,193
2025-01-17,374,414
2026-12-11,396,970
2026-01-10,199,121
2024-12-04,351,191
2023-12-24,314,663
2025-05-15,294,658
2024-02-01,145,965
2023-04-08,118,939
2023-11-04,187,565
2025-11-04,103,336
2023-12-17,111,436
2026-01-07,165,245
2023-06-09,154,598
2026-06-07,120,27
2024-03-20,181,329
2024-06-29,254,528
2025-10-25,258,787
2026-06-10,172,248
2026-03-07,286,28
2023-11-03,279,547
2025-02-06,88,247
2025-07-17,309,743
2024-12-29,169,742
2025-10-05,25,918
2023-02-11,236,373
2025-01-10,396,106
2026-09-28,124,213
2023-12-29,89,429
2025-08-05,142,308
2023-05-07,93,281
2023-02-05,273,149
2026-04-19,218,422
2024-05-26,181,579
2026-04-24,210,402
2023-09-23,271,218
2023-12-22,353,855
2024-03-25,116,517
2023-05-16,263,503
2024-08-07,253,630
2023-03-08,10,92
2026-07-27,327,13
2026-10-15,25,226
2025-12-15,107,670
2025-04-22,63,443
2025-10-21,357,749
2026-11-19,152,511
2026-11-02,350,167
2023-05-11,143,306
2023-08-27,256,543
2024-06-29,167,900
2026-04-04,144,64
2025-12-14,67,729
2025-02-03,80,976
2026-07-17,72,975
2024-03-26,326,949
2024-10-22,139,189
2023-10-08,281,260
2024-08-16,252,330
2023-07-24,331,102
2024-12-07,229,736
2025-09-07,200,863
2024-07-31,58,991
2025-11-17,236,158
2026-07-07,179,772
2024-09-06,220,478
2025-12-19,81,619
2024-11-18,187,451
2023-06-18,174,755
2023-09-20,20,119
2026-05-16,360,249
2023-11-05,370,319
2023-12-18,249,433
2024-12-16,228,96
2023-04-17,2,212
2026-01-01,387,742
2023-11-22,328,873
2024-08-20,230,656
2023-07-12,79,912
2026-10-06,85,91
2026-10-16,374,707
2025-07-19,30,225
2024-11-27,228,860
2026-10-29,76,698
2025-01-21,297,137
2025-10-28,181,586
2025-07-05,201,3
2026-05-15,190,213
2024-03-31,230,728
2024-01-29,158,49
2024-02-14,181,292
2023-09-16,180,338
2026-10-04,24,903
