cost,supplyDate,supplierId,activityId
4685,2026-10-14,18,228
1726,2026-10-10,30,153
4402,2025-12-08,34,21
603,2025-10-26,48,336
3204,2023-03-04,3,49
3683,2024-07-03,15,69
2717,2026-09-10,22,192
1071,2023-07-15,17,288
2727,2026-01-24,35,56
3654,2026-05-22,17,169
958,2023-03-14,43,34
604,2024-11-03,12,354
4404,2024-07-01,33,189
496,2025-11-24,38,227
1319,2024-08-11,24,334
4534,2024-07-30,41,166
2730,2026-01-03,40,197
523,2023-12-12,35,82
3872,2023-07-03,35,223
2806,2026-07-10,36,125
2198,2024-07-05,14,187
2831,2024-09-26,44,256
1697,2025-07-19,12,395
2156,2026-02-22,45,227
1133,2026-12-10,30,251
3070,2025-11-11,24,157
3497,2023-11-05,4,185
3566,2025-10-12,8,142
759,2023-09-22,44,222
896,2026-05-29,20,281
3833,2024-04-01,37,61
508,2024-05-23,12,203
2409,2024-01-30,20,59
2256,2023-03-08,37,156
420,2025-07-04,49,85
2159,2025-03-02,22,247
4337,2025-02-20,4,386
2565,2024-10-02,30,69
3494,2024-12-08,29,128
2091,2025-06-06,23,322
1382,2026-10-17,30,340
1523,2025-06-07,15,161
651,2026-10-31,4,335
3484,2025-05-28,18,107
3286,2024-12-28,45,108
340,2024-10-29,37,118
3643,2024-10-27,40,356
1255,2023-10-01,23,251
1529,2025-06-18,28,63
1161,2023-02-16,5,329
1814,2023-10-13,50,125
4150,2024-10-12,5,75
238,2023-08-27,16,376
1327,2026-07-08,18,25
1532,2026-02-03,30,329
1054,2024-11-22,10,167
3681,2023-12-21,35,204
4594,2025-01-21,35,32
1929,2025-09-15,41,37
3181,2024-12-07,29,49
3483,2026-05-20,12,179
1859,2024-01-27,8,183
1063,2026-02-07,6,383
456,2026-10-11,45,269
1737,2023-11-12,23,392
2763,2024-01-09,36,203
1845,2025-03-29,6,336
4879,2026-03-28,46,110
4971,2023-06-15,10,81
4239,2023-04-29,15,301
2370,2026-04-26,41,263
4742,2025-07-29,21,55
3526,2024-03-02,32,130
1314,2026-02-16,11,302
986,2025-05-27,4,211
4064,2026-05-06,29,291
4152,2026-07-15,17,360
1247,2023-09-28,47,302
3970,2024-11-13,49,41
3546,2026-03-24,30,156
502,2026-10-07,21,346
4564,2024-09-12,19,212
1942,2025-10-21,24,324
2082,2024-01-19,18,355
3477,2023-12-04,36,298
821,2024-03-07,26,10
2647,2026-07-16,48,350
1987,2025-09-25,21,371
2685,2026-03-17,4,74
3483,2024-06-25,17,242
2765,2024-08-21,35,331
2501,2025-12-11,31,151
3031,2023-02-26,47,146
3082,2024-02-20,12,349
4345,2026-02-15,41,305
4645,2023-10-29,50,5
3738,2025-04-05,28,170
3578,2025-04-07,30,220
545,2026-04-04,45,335
1120,2025-10-09,47,36
4495,2023-05-30,2,326
1215,2025-03-09,18,70
2842,2026-07-24,27,386
293,2024-07-11,45,39
2555,2026-07-14,20,256
1117,2026-12-22,44,234
4473,2026-11-07,48,338
903,2025-11-29,16,45
862,2025-11-24,48,198
4244,2025-08-04,20,3
2123,2023-11-07,37,374
3444,2023-07-16,19,251
1545,2025-03-20,43,242
3264,2023-03-27,15,341
4471,2024-12-11,18,9
4516,2025-12-29,18,284
3217,2026-01-28,35,69
1307,2024-06-08,30,39
3942,2025-04-27,16,389
3838,2024-01-18,50,201
1910,2026-07-21,37,144
4949,2026-07-02,33,73
4138,2026-06-05,6,216
399,2026-04-20,31,4
4660,2023-04-19,38,325
4510,2024-04-17,14,305
4429,2023-05-28,17,130
2115,2024-03-01,32,170
427,2025-01-01,34,145
738,2025-12-08,6,18
3686,2024-01-08,19,330
3372,2024-01-12,31,255
2655,2026-09-22,31,166
1198,2024-05-31,16,29
3026,2025-07-17,34,27
1951,2025-01-12,18,274
4505,2023-05-06,3,172
1768,2026-07-22,12,61
3662,2023-03-18,20,276
2613,2026-08-08,44,314
2291,2025-05-03,12,306
3224,2024-02-27,15,179
2263,2026-04-14,32,211
983,2024-02-04,4,124
4338,2025-02-02,23,43
1640,2025-12-20,29,77
177,2026-08-16,18,196
4747,2024-02-12,19,239
3521,2025-04-16,17,75
4270,2026-12-30,22,199
1900,2025-06-03,39,18
1271,2026-05-04,28,266
4449,2026-09-15,11,171
543,2023-08-07,47,159
2277,2026-12-31,11,383
4274,2024-10-15,10,241
3988,2025-08-31,31,397
1146,2025-04-14,23,90
3657,2026-11-27,16,205
745,2025-04-01,7,343
3264,2024-04-02,6,365
2796,2024-03-15,44,381
4963,2025-01-27,36,162
4569,2025-11-01,48,187
4379,2025-08-23,33,85
1822,2024-05-09,46,386
4100,2025-06-30,4,61
3247,2026-06-17,33,346
1038,2024-07-16,16,334
4237,2023-08-28,22,332
1971,2026-12-26,12,283
4631,2025-09-06,49,111
3392,2023-10-02,40,218
2530,2025-06-24,18,128
3838,2025-01-18,34,233
258,2024-04-24,26,213
2047,2025-11-15,29,337
240,2026-06-21,27,392
4808,2023-05-21,39,291
2610,2026-06-16,14,2
1918,2025-07-04,35,70
3959,2023-02-15,46,361
2491,2026-05-11,22,387
3900,2023-02-25,21,320
181,2024-11-15,30,158
3024,2024-06-02,16,305
1060,2025-06-11,37,30
4609,2025-02-05,45,300
3511,2026-08-20,45,80
3374,2024-06-12,4,205
3711,2025-10-07,14,380
4270,2025-06-24,31,28
1614,2023-07-15,2,145
137,2026-08-17,26,298
4153,2023-08-12,17,390
2668,2023-04-11,17,267
4996,2025-03-05,26,379
4019,2024-02-03,44,57
3454,2023-07-13,10,71
1552,2025-10-10,30,332
4682,2025-09-30,30,345
1173,2023-10-17,10,230
1945,2026-11-28,43,34
4623,2023-11-17,28,112
587,2026-07-01,23,220
277,2025-10-19,4,218
2498,2025-07-23,43,203
4304,2025-09-04,6,326
1367,2025-02-13,9,115
659,2026-01-15,7,236
174,2025-08-29,11,135
3070,2026-11-06,44,309
3753,2023-03-25,7,4
4721,2025-08-19,28,106
4372,2026-07-03,9,265
1217,2025-11-08,21,23
2711,2024-03-12,37,316
2628,2025-02-02,22,31
4245,2026-10-26,40,323
4509,2026-05-31,42,271
1174,2026-06-27,9,292
3922,2023-08-10,28,74
769,2023-07-12,6,388
3179,2023-06-13,11,212
1456,2025-04-21,22,27
2187,2026-02-10,47,272
1115,2024-02-06,39,315
2915,2023-03-20,7,321
1015,2026-11-19,46,131
2593,2026-06-05,25,150
1988,2026-03-06,24,351
4304,2023-05-22,6,337
4129,2025-09-14,49,58
3228,2024-05-27,17,263
1643,2026-01-03,11,354
2598,2025-06-18,46,254
2908,2024-05-25,16,204
4002,2023-12-02,48,75
1323,2023-01-28,14,128
1571,2023-03-24,41,7
4506,2023-12-09,22,347
3044,2025-08-05,43,171
1434,2024-02-03,30,359
3843,2023-11-09,6,379
4992,2026-09-14,5,349
2583,2026-06-18,35,90
4164,2025-08-29,29,42
284,2024-11-17,4,396
3226,2023-08-23,12,129
419,2025-05-01,11,145
1717,2023-06-02,11,274
4157,2025-04-22,20,240
4833,2026-09-06,33,319
3400,2023-12-09,10,272
2095,2024-06-20,16,305
3819,2026-02-20,6,110
3597,2025-07-06,25,81
2966,2023-09-10,39,127
5000,2025-05-24,26,203
654,2023-10-07,45,278
4986,2023-01-14,24,291
647,2025-09-27,12,266
1021,2024-07-22,36,231
4919,2024-10-27,2,184
233,2023-01-07,9,48
1212,2025-10-03,29,251
1717,2026-04-29,15,178
750,2023-07-25,7,323
1527,2026-10-28,36,197
2427,2024-08-21,8,392
4227,2023-11-17,16,359
1567,2026-07-10,45,255
540,2023-10-01,16,107
4291,2024-09-09,13,147
1944,2026-07-20,30,396
3546,2026-05-29,17,321
2011,2026-07-24,45,381
3201,2024-01-06,50,120
3180,2024-08-22,23,150
1224,2025-09-22,21,227
3084,2026-12-21,1,109
239,2023-06-04,21,179
2935,2026-06-18,49,192
4843,2025-03-19,5,8
2322,2025-08-26,26,146
3204,2023-07-23,3,287
256,2025-04-05,42,200
2922,2026-05-11,8,1
2202,2025-01-29,7,360
2752,2024-01-19,18,140
849,2024-01-08,1,186
1194,2026-05-23,21,198
1870,2025-01-16,6,97
381,2025-07-19,25,244
4836,2023-05-04,44,190
3960,2023-12-29,40,332
4353,2025-02-06,36,241
3582,2024-06-01,10,244
1572,2025-09-10,35,70
3427,2026-09-11,25,153
1157,2026-05-08,24,344
3329,2026-03-31,42,203
2445,2023-04-15,37,268
4307,2025-10-29,16,340
4592,2024-08-27,7,100
1120,2024-10-05,8,185
3424,2023-05-22,2,330
2041,2023-03-30,14,177
2074,2025-11-24,11,223
951,2023-09-20,50,342
2958,2026-10-07,34,150
4344,2025-03-12,3,54
2933,2025-02-08,18,303
426,2024-11-25,49,56
1128,2024-10-08,7,32
2299,2025-12-19,2,71
4873,2026-09-24,46,305
907,2024-03-18,17,219
1799,2024-03-11,35,287
4028,2024-10-16,28,221
1112,2025-07-23,37,385
2937,2024-11-08,10,51
4216,2025-07-14,24,61
2280,2024-04-28,6,338
3956,2025-06-21,20,299
322,2024-01-04,1,52
1166,2026-11-23,25,186
801,2023-06-09,36,115
3235,2026-02-22,48,44
1428,2023-08-15,36,177
1667,2025-01-01,17,342
396,2023-10-03,24,257
3505,2024-08-03,15,146
3901,2026-08-18,25,175
4078,2024-04-15,25,182
4517,2026-09-18,40,378
592,2023-04-24,45,225
2718,2024-06-05,44,355
1529,2024-02-05,23,211
2485,2024-08-26,10,278
4666,2024-07-31,4,67
2558,2025-02-22,5,341
2440,2026-11-21,45,266
422,2025-04-02,33,85
4984,2023-11-03,31,78
532,2025-02-26,27,98
4277,2025-11-03,41,21
1672,2026-04-14,5,155
1001,2025-02-18,34,285
2331,2026-12-24,10,257
1841,2026-10-15,13,174
1638,2026-12-20,3,16
4600,2023-10-09,8,13
1823,2025-12-01,19,206
4132,2024-01-21,48,71
1151,2025-10-01,31,229
869,2026-09-13,41,333
3917,2026-01-23,49,368
1031,2025-04-04,23,292
4975,2026-07-29,50,96
4037,2025-08-22,26,369
3703,2023-02-02,50,167
2993,2023-01-04,38,293
1362,2025-11-07,36,146
4825,2026-01-29,42,11
2988,2025-07-21,21,164
4605,2024-02-19,41,190
2263,2024-09-17,19,198
2835,2024-12-20,10,13
2983,2025-03-01,28,280
4309,2026-11-22,44,99
1660,2025-05-22,33,109
4882,2026-10-03,23,312
4472,2025-06-02,10,1
1846,2023-03-14,21,146
3019,2024-05-18,13,286
4224,2024-01-28,45,297
2868,2026-09-29,49,265
3969,2023-11-05,13,208
4740,2026-10-30,19,76
4356,2023-12-18,27,197
4632,2025-05-28,49,249
1893,2026-11-07,28,117
864,2025-09-06,47,272
2028,2024-12-31,26,374
3797,2025-06-21,32,226
4241,2023-12-17,26,309
474,2023-02-09,10,344
3838,2023-12-25,32,171
4926,2025-06-15,33,82
1427,2024-02-23,12,154
3323,2023-12-25,13,243
468,2024-11-30,41,384
2295,2023-06-26,6,363
3057,2024-06-26,35,7
3770,2023-07-17,44,257
2169,2024-03-07,18,35
1884,2025-03-03,11,159
4092,2023-10-30,25,302
894,2023-03-10,43,241
